pkg,return_code,github_url,homepage,earliest_release,gh_url_check,github
gpt-review,200.0,https://github.com/dciborow/action-gpt/issues,,2023-04-25T22:54:54,0.0,
pixivspidercreatedbyhanxu,200.0,,https://gitee.com/UnderTurrets/pixiv-spider,2023-04-23T13:32:51,0.0,
text-content-generator,200.0,https://github.com/mheshze/TextContentGeneration.git,,2023-04-24T08:11:28,,
jawalang,200.0,https://github.com/Arsybai/jawa-language,https://github.com/Arsybai/jawa-language,2023-04-25T00:08:33,1.0,https://github.com/Arsybai/jawa-language
gvec-to-python,200.0,https://github.com/me/spam.git,,2023-04-26T07:46:17,,
foccoerpy,200.0,https://github.com/GaNiziolek/FoccoERPy,,2023-04-25T13:26:24,1.0,https://github.com/GaNiziolek/FoccoERPy
evaluateqa,200.0,https://github.com/MihailSalnikov/EvaluateQA,https://github.com/MihailSalnikov/EvaluateQA,2023-04-26T12:10:16,1.0,https://github.com/MihailSalnikov/EvaluateQA
certora-cli-alpha-shelly-certoraclibeta,200.0,,https://pypi.org/project/certora-cli-alpha-shelly-certoraclibeta,2023-04-28T13:28:28,0.0,
sa-node-architecture,200.0,https://github.com/Simply-Artificial/NodeArchitecture,https://github.com/Simply-Artificial/NodeArchitecture,2023-04-27T17:03:58,1.0,https://github.com/Simply-Artificial/NodeArchitecture
ebyte-lora-e22-rpi,200.0,,https://github.com/xreef/EByte_LoRa_E22_raspberrypi_library,2023-04-25T17:31:17,,
nci-cidc-schemas,200.0,https://github.com/NCI-CIDC/cidc-schemas,https://github.com/NCI-CIDC/cidc-schemas,2023-04-25T15:04:06,,
micropython-icm20948,200.0,https://github.com/jposada202020/MicroPython_ICM20948,,2023-04-26T13:51:25,1.0,https://github.com/jposada202020/MicroPython_ICM20948
jnb2py,200.0,https://github.com/subhranil2605/nb2py,https://github.com/subhranil2605/nb2py,2023-04-24T06:57:44,,
secure-logger,200.0,https://github.com/lpm0073/secure-logger,https://github.com/lpm0073/secure-logger,2023-04-25T19:12:14,1.0,https://github.com/lpm0073/secure-logger
tunnelvision,200.0,https://github.com/sluijs/tunnelvision,https://github.com/sluijs/tunnelvision,2023-04-25T21:30:02,,
