pkg,earliest_release,github,no_readme,not_new
bird-ospf-link-db-parser,2023-04-29T07:23:44,https://github.com/Andrew-Dickinson/bird-ospf-link-db-parser,0,0
asciicli,2023-04-28T07:22:55,https://github.com/mrq-andras/asciicli,0,0
bdpotentiometer,2023-04-27T06:35:18,https://github.com/bond-anton/BDPotentiometer,0,0
mindmate,2023-04-24T04:25:43,https://github.com/yalattas/mindmate,0,0
botocore-a-la-carte-osis,2023-04-27T01:20:48,https://github.com/thejcannon/botocore-a-la-carte,0,0
odoo-addon-coupon-multiplier-free-product,2023-04-27T20:06:33,https://github.com/OCA/sale-promotion,0,0
nlvwxpython,2023-04-27T20:40:31,https://github.com/nielathome/Phoenix,0,0
saipravega,2023-04-26T11:22:42,https://github.com/kotlasaicharanreddy/pravega-client-rust,0,0
hakurei-sqlalchemy-graphqlapi,2023-04-24T08:14:22,https://github.com/cancan101/graphql-db-api,0,0
latest-earth-quake-indonesia-chatur,2023-04-28T00:22:02,https://github.com/chaturap/bmkg-latest-earthquake,0,0
firebase-functions,2023-04-27T00:25:20,https://github.com/firebase/firebase-functions-python,0,0
pyopenfigi,2023-04-29T10:13:23,https://github.com/tlouarn/pyopenfigi,0,0
asgardpy,2023-04-24T11:32:31,https://github.com/chaimain/asgardpy,0,0
locate-pixelcolor-cythonsingle,2023-04-27T18:00:06,https://github.com/hansalemaos/locate_pixelcolor_cythonsingle,0,0
complex-network-link-prediction,2023-04-28T15:39:19,https://github.com/Typing-Monkeys/social-network-link-prediction,0,0
scipion-em-isonet,2023-04-24T13:57:06,https://github.com/scipion-em/scipion-em-isonet,0,0
echo-logger,2023-04-28T05:34:08,https://github.com/void-echo/echo_logger/,0,0
pyoqs-sdk,2023-04-29T07:00:47,https://github.com/sagarbhure/pyoqs_sdk,0,0
scoobi,2023-04-25T15:51:14,https://github.com/avialxee/scoobi,0,0
gpt-bot,2023-04-25T05:35:02,https://github.com/hzhangxyz/gpt-bot,0,0
test-push-swap,2023-04-27T16:39:14,https://github.com/hu8813/tester_push_swap,0,0
lazytensor,2023-04-28T01:47:36,https://github.com/kushalkolar/lazytensor,0,0
validator-and-token-generator,2023-04-28T02:00:11,https://github.com/SasheO/CS3_Project,0,0
apkmod,2023-04-27T18:31:12,https://github.com/mon231/apkpatcher/,0,0
pydhcp3,2023-04-24T00:17:45,https://github.com/imgurbot12/pydhcp,0,0
safe-exit,2023-04-26T03:16:52,https://github.com/ZhangJianAo/safe-exit,0,0
fineslice,2023-04-27T17:21:15,https://github.com/nx10/fineslice,0,0
fluke5440b-async,2023-04-24T00:16:50,https://github.com/PatrickBaus/pyAsyncFluke5440B,0,0
client-gpt,2023-04-27T08:36:54,https://github.com/littleknitsstory/client-gpt,0,0
easyai-sdwebui-api,2023-04-25T06:53:41,https://github.com/freemindcore/sdwebuiapi,0,0
docamr,2023-04-24T18:40:54,https://github.com/IBM/docAMR,0,0
clenv,2023-04-26T10:21:21,https://github.com/DavidSonoda/clenv,0,0
prompt-me,2023-04-24T08:09:55,https://github.com/Undertone0809/prompt-me,0,0
flet-multi-page,2023-04-27T12:08:04,https://github.com/SKbarbon/flet_multi_page,0,0
neural-data-simulator,2023-04-24T15:57:54,https://github.com/agencyenterprise/neural-data-simulator,0,0
cloudflare-images,2023-04-23T22:29:41,https://github.com/justmars/cloudflare-images,0,0
sql2mermaid-cli,2023-04-28T05:37:45,https://github.com/sattosan/sql2mermaid-cli,0,0
bumerge,2023-04-28T17:51:00,https://github.com/kytta/bumerge/,0,0
django-import-export-extensions,2023-04-27T11:49:26,https://github.com/saritasa-nest/django-import-export-extensions,0,0
libretiny-esphome-dashboard,2023-04-28T12:32:05,https://github.com/esphome/dashboard,0,0
pyobigram,2023-04-24T05:29:23,https://github.com/ObisoftDev/pyobigram,0,0
bw-temporalis,2023-04-27T08:24:04,https://github.com/brightway-lca/bw_temporalis,0,0
cobweb-lnx,2023-04-26T19:25:31,https://github.com/GoncaloMark/Amara-CobWeb,0,0
andeplane-pyodide-kernel,2023-04-28T18:04:56,https://github.com/jupyterlite/pyodide-kernel,0,0
yze,2023-04-23T20:08:11,https://github.com/nlegrand/yze,0,0
cloudflarestatus,2023-04-27T13:15:13,https://github.com/ayeowch/cloudflarestatus,0,0
phonetree,2023-04-24T15:42:00,https://github.com/leandropls/phonetree,0,0
rafnixg,2023-04-29T04:11:45,https://github.com/rafnixg/rafnixg-lib,0,0
multiversx-sdk-transaction-decoder,2023-04-24T09:00:35,https://github.com/multiversx/mx-sdk-py-transaction-decoder,0,0
llmwrite,2023-04-25T10:56:07,https://github.com/otakumesi/llm-write,0,0
funcgpt,2023-04-24T03:19:47,https://github.com/leandropls/funcgpt,0,0
conplex-dti,2023-04-27T20:34:20,https://github.com/samsledje/ConPLex,0,0
uphill,2023-04-27T12:24:14,https://github.com/yinanxu0/uphill,0,0
