pkg,return_code,github_url,homepage,earliest_release,gh_url_check,github,pypi,label,no readme,not new
bird-ospf-link-db-parser,200,https://github.com/Andrew-Dickinson/bird-ospf-link-db-parser,,2023-04-29T07:23:44,1,https://github.com/Andrew-Dickinson/bird-ospf-link-db-parser,https://pypi.org/project/bird-ospf-link-db-parser/#history,"bird-ospf-link-db-parser
https://github.com/Andrew-Dickinson/bird-ospf-link-db-parser
https://pypi.org/project/bird-ospf-link-db-parser/#history",,
asciicli,200,https://github.com/mrq-andras/asciicli,https://github.com/mrq-andras/asciicli,2023-04-28T07:22:55,1,https://github.com/mrq-andras/asciicli,https://pypi.org/project/asciicli/#history,"asciicli
https://github.com/mrq-andras/asciicli
https://pypi.org/project/asciicli/#history",,
bdpotentiometer,200,https://github.com/bond-anton/BDPotentiometer,https://github.com/bond-anton/BDPotentiometer,2023-04-27T06:35:18,1,https://github.com/bond-anton/BDPotentiometer,https://pypi.org/project/bdpotentiometer/#history,"bdpotentiometer
https://github.com/bond-anton/BDPotentiometer
https://pypi.org/project/bdpotentiometer/#history",,
django-tsp,200,,https://github.com/TravelSalesmanProblem/django_tsp,2023-04-28T14:11:17,1,https://github.com/TravelSalesmanProblem/django_tsp,https://pypi.org/project/django-tsp/#history,"django-tsp
https://github.com/TravelSalesmanProblem/django_tsp
https://pypi.org/project/django-tsp/#history",1,
mindmate,200,https://github.com/yalattas/mindmate,https://github.com/yalattas/mindmate,2023-04-24T04:25:43,1,https://github.com/yalattas/mindmate,https://pypi.org/project/mindmate/#history,"mindmate
https://github.com/yalattas/mindmate
https://pypi.org/project/mindmate/#history",,
botocore-a-la-carte-osis,200,https://github.com/thejcannon/botocore-a-la-carte,https://github.com/thejcannon/botocore-a-la-carte,2023-04-27T01:20:48,1,https://github.com/thejcannon/botocore-a-la-carte,https://pypi.org/project/botocore-a-la-carte-osis/#history,"botocore-a-la-carte-osis
https://github.com/thejcannon/botocore-a-la-carte
https://pypi.org/project/botocore-a-la-carte-osis/#history",,
mujoco-dev,200,https://github.com/deepmind/mujoco,https://github.com/deepmind/mujoco,2023-04-25T17:25:35,1,https://github.com/deepmind/mujoco,https://pypi.org/project/mujoco-dev/#history,"mujoco-dev
https://github.com/deepmind/mujoco
https://pypi.org/project/mujoco-dev/#history",,1
odoo-addon-coupon-multiplier-free-product,200,https://github.com/OCA/sale-promotion,https://github.com/OCA/sale-promotion,2023-04-27T20:06:33,1,https://github.com/OCA/sale-promotion,https://pypi.org/project/odoo-addon-coupon-multiplier-free-product/#history,"odoo-addon-coupon-multiplier-free-product
https://github.com/OCA/sale-promotion
https://pypi.org/project/odoo-addon-coupon-multiplier-free-product/#history",,
nlvwxpython,200,https://github.com/nielathome/Phoenix,http://wxPython.org/,2023-04-27T20:40:31,1,https://github.com/nielathome/Phoenix,https://pypi.org/project/nlvwxpython/#history,"nlvwxpython
https://github.com/nielathome/Phoenix
https://pypi.org/project/nlvwxpython/#history",,
saipravega,200,https://github.com/kotlasaicharanreddy/pravega-client-rust,,2023-04-26T11:22:42,1,https://github.com/kotlasaicharanreddy/pravega-client-rust,https://pypi.org/project/saipravega/#history,"saipravega
https://github.com/kotlasaicharanreddy/pravega-client-rust
https://pypi.org/project/saipravega/#history",,
hakurei-sqlalchemy-graphqlapi,200,https://github.com/cancan101/graphql-db-api,https://github.com/cancan101/graphql-db-api,2023-04-24T08:14:22,1,https://github.com/cancan101/graphql-db-api,https://pypi.org/project/hakurei-sqlalchemy-graphqlapi/#history,"hakurei-sqlalchemy-graphqlapi
https://github.com/cancan101/graphql-db-api
https://pypi.org/project/hakurei-sqlalchemy-graphqlapi/#history",,
odoo-addon-purchase-order-qty-by-product-category,200,https://github.com/OCA/purchase-workflow,https://github.com/OCA/purchase-workflow,2023-04-26T10:04:52,1,https://github.com/OCA/purchase-workflow,https://pypi.org/project/odoo-addon-purchase-order-qty-by-product-category/#history,"odoo-addon-purchase-order-qty-by-product-category
https://github.com/OCA/purchase-workflow
https://pypi.org/project/odoo-addon-purchase-order-qty-by-product-category/#history",,1
py-sls-lambda-toolkit,200,https://github.com/0riion/py-sls-lambda-toolkit,https://github.com/0riion/py-sls-lambda-toolkit,2023-04-23T18:27:19,1,https://github.com/0riion/py-sls-lambda-toolkit,https://pypi.org/project/py-sls-lambda-toolkit/#history,"py-sls-lambda-toolkit
https://github.com/0riion/py-sls-lambda-toolkit
https://pypi.org/project/py-sls-lambda-toolkit/#history",1,
latest-earth-quake-indonesia-chatur,200,https://github.com/chaturap/bmkg-latest-earthquake,,2023-04-28T00:22:02,1,https://github.com/chaturap/bmkg-latest-earthquake,https://pypi.org/project/latest-earth-quake-indonesia-chatur/#history,"latest-earth-quake-indonesia-chatur
https://github.com/chaturap/bmkg-latest-earthquake
https://pypi.org/project/latest-earth-quake-indonesia-chatur/#history",,
firebase-functions,200,https://github.com/firebase/firebase-functions-python,https://github.com/firebase/firebase-functions-python,2023-04-27T00:25:20,1,https://github.com/firebase/firebase-functions-python,https://pypi.org/project/firebase-functions/#history,"firebase-functions
https://github.com/firebase/firebase-functions-python
https://pypi.org/project/firebase-functions/#history",,
pyopenfigi,200,https://github.com/tlouarn/pyopenfigi,,2023-04-29T10:13:23,1,https://github.com/tlouarn/pyopenfigi,https://pypi.org/project/pyopenfigi/#history,"pyopenfigi
https://github.com/tlouarn/pyopenfigi
https://pypi.org/project/pyopenfigi/#history",,
asgardpy,200,https://github.com/chaimain/asgardpy,https://github.com/chaimain/asgardpy,2023-04-24T11:32:31,1,https://github.com/chaimain/asgardpy,https://pypi.org/project/asgardpy/#history,"asgardpy
https://github.com/chaimain/asgardpy
https://pypi.org/project/asgardpy/#history",,
locate-pixelcolor-cythonsingle,200,https://github.com/hansalemaos/locate_pixelcolor_cythonsingle,https://github.com/hansalemaos/locate_pixelcolor_cythonsingle,2023-04-27T18:00:06,1,https://github.com/hansalemaos/locate_pixelcolor_cythonsingle,https://pypi.org/project/locate-pixelcolor-cythonsingle/#history,"locate-pixelcolor-cythonsingle
https://github.com/hansalemaos/locate_pixelcolor_cythonsingle
https://pypi.org/project/locate-pixelcolor-cythonsingle/#history",,
complex-network-link-prediction,200,https://github.com/Typing-Monkeys/social-network-link-prediction,https://github.com/Typing-Monkeys/social-network-link-prediction,2023-04-28T15:39:19,1,https://github.com/Typing-Monkeys/social-network-link-prediction,https://pypi.org/project/complex-network-link-prediction/#history,"complex-network-link-prediction
https://github.com/Typing-Monkeys/social-network-link-prediction
https://pypi.org/project/complex-network-link-prediction/#history",,
scipion-em-isonet,200,https://github.com/scipion-em/scipion-em-isonet,https://github.com/scipion-em/scipion-em-isonet,2023-04-24T13:57:06,1,https://github.com/scipion-em/scipion-em-isonet,https://pypi.org/project/scipion-em-isonet/#history,"scipion-em-isonet
https://github.com/scipion-em/scipion-em-isonet
https://pypi.org/project/scipion-em-isonet/#history",,
echo-logger,200,https://github.com/void-echo/echo_logger/,https://github.com/void-echo/echo_logger/,2023-04-28T05:34:08,1,https://github.com/void-echo/echo_logger/,https://pypi.org/project/echo-logger/#history,"echo-logger
https://github.com/void-echo/echo_logger/
https://pypi.org/project/echo-logger/#history",,
pyoqs-sdk,200,https://github.com/sagarbhure/pyoqs_sdk,https://github.com/sagarbhure/pyoqs_sdk,2023-04-29T07:00:47,1,https://github.com/sagarbhure/pyoqs_sdk,https://pypi.org/project/pyoqs-sdk/#history,"pyoqs-sdk
https://github.com/sagarbhure/pyoqs_sdk
https://pypi.org/project/pyoqs-sdk/#history",,
pyram-mogus,200,https://github.com/pypa/sampleproject,,2023-04-23T15:04:08,1,https://github.com/pypa/sampleproject,https://pypi.org/project/pyram-mogus/#history,"pyram-mogus
https://github.com/pypa/sampleproject
https://pypi.org/project/pyram-mogus/#history",,1
scoobi,200,https://github.com/avialxee/scoobi,https://github.com/avialxee/scoobi,2023-04-25T15:51:14,1,https://github.com/avialxee/scoobi,https://pypi.org/project/scoobi/#history,"scoobi
https://github.com/avialxee/scoobi
https://pypi.org/project/scoobi/#history",,
gpt-bot,200,https://github.com/hzhangxyz/gpt-bot,https://github.com/hzhangxyz/gpt-bot,2023-04-25T05:35:02,1,https://github.com/hzhangxyz/gpt-bot,https://pypi.org/project/gpt-bot/#history,"gpt-bot
https://github.com/hzhangxyz/gpt-bot
https://pypi.org/project/gpt-bot/#history",,
assignment-manager,200,https://github.com/PraxTube/assignment-manager,https://github.com/PraxTube/assignment-manager,2023-04-24T15:53:38,1,https://github.com/PraxTube/assignment-manager,https://pypi.org/project/assignment-manager/#history,"assignment-manager
https://github.com/PraxTube/assignment-manager
https://pypi.org/project/assignment-manager/#history",1,
test-push-swap,200,https://github.com/hu8813/tester_push_swap,https://github.com/hu8813/tester_push_swap,2023-04-27T16:39:14,1,https://github.com/hu8813/tester_push_swap,https://pypi.org/project/test-push-swap/#history,"test-push-swap
https://github.com/hu8813/tester_push_swap
https://pypi.org/project/test-push-swap/#history",,
lazytensor,200,https://github.com/kushalkolar/lazytensor,https://github.com/kushalkolar/lazytensor,2023-04-28T01:47:36,1,https://github.com/kushalkolar/lazytensor,https://pypi.org/project/lazytensor/#history,"lazytensor
https://github.com/kushalkolar/lazytensor
https://pypi.org/project/lazytensor/#history",,
validator-and-token-generator,200,https://github.com/SasheO/CS3_Project,https://github.com/SasheO/CS3_Project,2023-04-28T02:00:11,1,https://github.com/SasheO/CS3_Project,https://pypi.org/project/validator-and-token-generator/#history,"validator-and-token-generator
https://github.com/SasheO/CS3_Project
https://pypi.org/project/validator-and-token-generator/#history",,
apkmod,200,https://github.com/mon231/apkpatcher/,https://github.com/mon231/apkpatcher/,2023-04-27T18:31:12,1,https://github.com/mon231/apkpatcher/,https://pypi.org/project/apkmod/#history,"apkmod
https://github.com/mon231/apkpatcher/
https://pypi.org/project/apkmod/#history",,
